Fecha;CCAA;cod_ine;CasosAcc;IngresadosAcc;UCIAcc;FallecidosAcc;PCRDia;Ingresados;UCI;PorcenCamas;Ingresos24h;Altas24h;PorcenUCI
2020-08-07;Galicia;12;10011;2988;340;619
2020-08-07;Madrid;13;80673;43119;3665;8458
2020-08-07;Melilla;19;151;47;3;2
2020-08-07;Murcia;14;2831;758;122;148
2020-08-07;Navarra;15;7193;2105;142;529
2020-08-07;País Vasco;16;17820;7077;582;1565
2020-08-07;La Rioja;17;4233;1495;91;366
2020-08-10;Andalucía;01;17473;6581;813;1443
2020-08-10;Aragón;02;18388;2595;317;991
2020-08-10;Asturias;03;2701;1122;130;334
2020-08-10;Baleares;04;3143;1208;174;226
2020-08-10;Canarias;05;2955;989;188;164
2020-08-10;Cantabria;06;2746;1090;85;217
2020-08-10;Castilla La Mancha;08;19267;9507;670;3036
2020-08-10;Castilla y León;07;21394;8913;637;2800
2020-08-10;Cataluña;09;88572;29767;3020;5706
2020-08-10;Ceuta;18;167;15;4;4
2020-08-10;Comunidad Valenciana;10;15411;6055;757;1438
2020-08-10;Extremadura;11;3613;1800;143;521
2020-08-10;Galicia;12;10245;2997;341;621
2020-08-10;Madrid;13;83120;43162;3668;8464
2020-08-10;Melilla;19;162;49;3;2
2020-08-10;Murcia;14;2964;761;122;148
2020-08-10;Navarra;15;7524;2111;142;530
2020-08-10;País Vasco;16;18866;7084;582;1565
2020-08-10;La Rioja;17;4269;1497;91;366
2020-08-11;Andalucía;01;17758;6597;816;1443
2020-08-11;Aragón;02;18849;3616;317;991
2020-08-11;Asturias;03;2715;1123;130;334
2020-08-11;Baleares;04;3501;1216;174;225
2020-08-11;Canarias;05;3041;993;188;164
2020-08-11;Cantabria;06;2759;1093;86;219
2020-08-11;Castilla La Mancha;08;19445;9508;670;3035
2020-08-11;Castilla y León;07;21994;8930;638;2802
2020-08-11;Cataluña;09;89015;29807;3020;5706
2020-08-11;Ceuta;18;168;16;4;4
2020-08-11;Comunidad Valenciana;10;15663;6076;758;1439
2020-08-11;Extremadura;11;3626;1799;143;521
2020-08-11;Galicia;12;10284;3003;341;622
2020-08-11;Madrid;13;83606;43216;3669;8464
2020-08-11;Melilla;19;174;49;3;2
2020-08-11;Murcia;14;3039;773;122;148
2020-08-11;Navarra;15;7564;2122;144;531
2020-08-11;País Vasco;16;19110;7084;582;1565
2020-08-11;La Rioja;17;4301;1497;91;366
2020-08-12;Andalucía;01;18059;6614;818;1443
2020-08-12;Aragón;02;19418;3654;321;991
2020-08-12;Asturias;03;2733;1124;130;334
2020-08-12;Baleares;04;3780;1228;174;225
2020-08-12;Canarias;05;3107;999;189;164
2020-08-12;Cantabria;06;2824;1097;86;220
2020-08-12;Castilla La Mancha;08;19582;9508;672;3037
2020-08-12;Castilla y León;07;22169;8953;639;2804
2020-08-12;Cataluña;09;89909;29834;3022;5706
2020-08-12;Ceuta;18;168;16;4;4
2020-08-12;Comunidad Valenciana;10;15934;6109;761;1442
2020-08-12;Extremadura;11;3664;1802;143;522
2020-08-12;Galicia;12;10480;3014;342;622
2020-08-12;Madrid;13;83606;43216;3669;8464
2020-08-12;Melilla;19;180;49;3;2
2020-08-12;Murcia;14;3116;782;122;149
